,id,text,author_id,created_at,retweets,likes,replies,quotes
0,1973871316630712445,"RT @mmdisney200: The first trailer for ‘INSIDE OUT 2’ has been released ✨ In theaters on June 14.
 https://t.co/rmPl3HkPxy",1489452698726510594,2025-10-02T22:02:49+00:00,61,0,0,0
1,1973870779646554612,"RT @DisneyPinnacle: Let your collection tell a story! 💙

Pixar’s Inside Out 2 Vol.1 digital pins, featuring Anxiety &amp; Envy and Ennui &amp; Emba…",1167532630746828801,2025-10-02T22:00:41+00:00,8,0,0,0
2,1973860269052121447,"RT @TheLuluDeluxe: Not often we see The Owl House, Inside Out 2 and Adventures of Ichabod &amp; Mr Toad (underrated Disney packedge film btw) a…",27268175,2025-10-02T21:18:55+00:00,1,0,0,0
3,1973858085988167698,"RT @Animated_Antic: One of my favorite moments in Inside Out 2 is the moment where Joy snaps, mainly because it's great character developme…",887394848667561984,2025-10-02T21:10:14+00:00,191,0,0,0
4,1973820731609038982,@Spider_Minifig I remember when someone with an inside out 2 pfp unironically said this,1721871626764005377,2025-10-02T18:41:48+00:00,0,11,1,0
5,1973795259437232152,"RT @DisneyPinnacle: Let your collection tell a story! 💙

Pixar’s Inside Out 2 Vol.1 digital pins, featuring Anxiety &amp; Envy and Ennui &amp; Emba…",1686213670961905664,2025-10-02T17:00:35+00:00,8,0,0,0
6,1973785389426192567,"@boovalien @Nickelodeon @Pixar At least in 2024 when inside out 2 and Moana 2 came out and made billions, we were finally free from the anti wokes.",1162439351722135552,2025-10-02T16:21:22+00:00,0,2,1,0
7,1973772184326955132,"RT @Airbnb: Drift off in the IRL Up house, now on Airbnb🎈🏠

Request to book at https://t.co/2kg1UtwOYP 

(Then save a little joy for the In…",880108705,2025-10-02T15:28:54+00:00,157,0,0,0
8,1973771489674707343,"RT @TheMultiStudios: ""What are we saying?!""
-Disgust, Inside Out 2 (2024)

#InsideOut #RileysFirstDate #InsideOut2 #DreamProductions #Insid…",1609224498531770369,2025-10-02T15:26:08+00:00,18,0,0,0
9,1973764722026860652,"RT @aigayfurry: Bill Andersen (inside Out) (2/3)
Breakfast time

#ai #aiart #bara #yaoi #gay #porn #gayporn #insideout #billandersen #anima…",849704986254725125,2025-10-02T14:59:15+00:00,706,0,0,0
10,1973763954175590758,@RaeTurtleDemon @ least now I have “Inside Out 2” as an example. https://t.co/tPQs3pNBz4,1754342596665548800,2025-10-02T14:56:12+00:00,0,1,1,0
11,1973760980187582627,RT @Chipmaster98659: @HollywoodHandle Inside Out 2 coming for Mid Mario like: https://t.co/fNFhG46PZ2,1647468491614613506,2025-10-02T14:44:23+00:00,2,0,0,0
12,1973757962993938663,"RT @TheMultiStudios: ""What are we saying?!""
-Disgust, Inside Out 2 (2024)

#InsideOut #RileysFirstDate #InsideOut2 #DreamProductions #Insid…",1724821853414502400,2025-10-02T14:32:23+00:00,18,0,0,0
13,1973754035154087993,@TookTheRedBean @NFTea_Sammi @runn3rsh1ghclub @0x_jonny @azukirunclub we watched inside out 2 together,1457770540425416704,2025-10-02T14:16:47+00:00,0,2,1,0
14,1973751623370571997,"RT @CartoonsOTMoon: ¡Las nominadas al Oscar a MEJOR PELÍCULA ANIMADA!

● The Wild Robot 
● Inside Out 2 
● Flow 
● Memoir of a Snail
● Wall…",1275851283694526469,2025-10-02T14:07:12+00:00,1094,0,0,0
15,1973750068227563716,"RT @TheMultiStudios: ""What are we saying?!""
-Disgust, Inside Out 2 (2024)

#InsideOut #RileysFirstDate #InsideOut2 #DreamProductions #Insid…",1688322292089040896,2025-10-02T14:01:01+00:00,18,0,0,0
16,1973746232263888951,"RT @aigayfurry: Bill Andersen (inside Out) (2/3)
Breakfast time

#ai #aiart #bara #yaoi #gay #porn #gayporn #insideout #billandersen #anima…",1951650306372071424,2025-10-02T13:45:46+00:00,706,0,0,0
17,1973744340322410746,"RT @MarioNawfal: 🚨DISNEY BACKS AWAY FROM WOKE AGENDA - TURNS A PROFIT 

Disney’s latest earnings surpassed expectations, driven by Pixar’s…",2782468529,2025-10-02T13:38:15+00:00,248,0,0,0
18,1973717950818607298,"RT @FairyPinMother: 📦 Fairy Pinmother Drop Spot | Vol. 038 ✨

Inside Out 2 Vol. 1 Limited Edition lands!
💚 Anxiety &amp; Envy
💤 Ennui &amp; Embarra…",42715005,2025-10-02T11:53:24+00:00,1,0,0,0
19,1973716811565969423,"To gain special access to mint Core Memory Orbs…
you’ll need BOTH:

✨ Inside Out Vol. 1 (Joy, Sadness, Anger, Disgust, Fear)
✨ Inside Out 2 Vol. 1 (Anxiety, Envy, Ennui, Embarrassment)",1948854560149159936,2025-10-02T11:48:52+00:00,0,1,0,0
20,1973716699351245085,"📦 Fairy Pinmother Drop Spot | Vol. 038 ✨

Inside Out 2 Vol. 1 Limited Edition lands!
💚 Anxiety &amp; Envy
💤 Ennui &amp; Embarrassment

Complete your pinbook to unlock something bigger 👀

#getpixelated #pincollectorsunite #fairypinmother
@disneypinnacle @flowblockchain @dapperlabs https://t.co/n1m9eAxVE0",1948854560149159936,2025-10-02T11:48:25+00:00,1,3,2,0
21,1973710507023732884,"RT @DisneyPinnacle: Let your collection tell a story! 💙

Pixar’s Inside Out 2 Vol.1 digital pins, featuring Anxiety &amp; Envy and Ennui &amp; Emba…",1696523337319821312,2025-10-02T11:23:49+00:00,8,0,0,0
22,1973707092696690959,No votes here for Inside Out 2.... https://t.co/4hd48gp1mP,2494680012,2025-10-02T11:10:15+00:00,0,0,0,0
23,1973699844981362701,"RT @DisneyPinnacle: Let your collection tell a story! 💙

Pixar’s Inside Out 2 Vol.1 digital pins, featuring Anxiety &amp; Envy and Ennui &amp; Emba…",188055923,2025-10-02T10:41:27+00:00,8,0,0,0
24,1973672554624909715,Something within my head is calling me to rewatch Inside Out 2,1778190918706683905,2025-10-02T08:53:00+00:00,0,1,0,0
25,1973651493531373600,"RT @aigayfurry: Bill Andersen (inside Out) (2/3)
Breakfast time

#ai #aiart #bara #yaoi #gay #porn #gayporn #insideout #billandersen #anima…",1783031724135305216,2025-10-02T07:29:19+00:00,706,0,0,0
26,1973588746642874715,RT @xeebss: just found this concept art for love in inside out 2 omg i can’t believe they ditched this character???? https://t.co/v4zvMaveOx,1712313746159226881,2025-10-02T03:19:59+00:00,1538,0,0,0
27,1973582356897472861,i had to leave the room while the kids at my work were watching inside out 2 bc it made me so anxious i was gonna have a panic attack,1120218240104325120,2025-10-02T02:54:35+00:00,0,0,0,0
28,1973578046302195949,@fuckmoonside Inside Out 2 Song (FREAKY),1892031445440528387,2025-10-02T02:37:28+00:00,0,1,0,0
29,1973574619623035386,"RT @Airbnb: Drift off in the IRL Up house, now on Airbnb🎈🏠

Request to book at https://t.co/2kg1UtwOYP 

(Then save a little joy for the In…",1177517532,2025-10-02T02:23:51+00:00,157,0,0,0
30,1973569228155527496,"RT @aigayfurry: Bill Andersen (inside Out) (2/3)
Breakfast time

#ai #aiart #bara #yaoi #gay #porn #gayporn #insideout #billandersen #anima…",3352830737,2025-10-02T02:02:25+00:00,706,0,0,0
31,1973559742497956236,"RT @DisneyPinnacle: Let your collection tell a story! 💙

Pixar’s Inside Out 2 Vol.1 digital pins, featuring Anxiety &amp; Envy and Ennui &amp; Emba…",1582211968928186368,2025-10-02T01:24:44+00:00,8,0,0,0
32,1973558643774857266,"if i were to make a fic based on the movie inside out, which members do you think will suit the emotions (just thought of it since there's exactly 9 emotions in inside out 2)",1946558458649866240,2025-10-02T01:20:22+00:00,0,4,2,0
33,1973550163760390587,RT @DiamondNFL: Inside Out 2 Vol.1 Limited Event Edition @DisneyPinnacle https://t.co/gyhmNjAUul,1459445315493261316,2025-10-02T00:46:40+00:00,5,0,0,0
34,1973547541007679944,"RT @TheMultiStudios: ""What are we saying?!""
-Disgust, Inside Out 2 (2024)

#InsideOut #RileysFirstDate #InsideOut2 #DreamProductions #Insid…",1264592725720158208,2025-10-02T00:36:15+00:00,18,0,0,0
35,1973545071007187049,"Tell me the funny ways you caught your ex cheating on you. I’ll go first:
1. Came home so drunk with his pants inside out
2. Tesla Sentry Mode 😂😂😂
3. He was trying to show me my photo in WhatsApp and showed me another woman’s photo",1618666489359306763,2025-10-02T00:26:26+00:00,0,20,13,0
36,1973544932943208703,"Tell me the funny ways you caught your ex cheating on you. I’ll go first:
1. Came home so drunk with his pants inside out
2. Tesla Sentry Mode 😂😂😂
3. He was trying to show me my photo in WhatsApp and showed me another women’s photo",1618666489359306763,2025-10-02T00:25:53+00:00,0,0,0,0
37,1973544487394877547,"Tell me the funny ways you caught your ex cheating on you. I’ll go first:
1. Came home so drunk with his pants inside out
2. Tesla Sentry Mode 😂😂😂",1618666489359306763,2025-10-02T00:24:07+00:00,0,0,0,0
38,1973534393433203055,"RT @XTriforceHeroXx: Pixar hasn’t fallen off as much as people say it has. Soul, Luca, Turning Red and Elemental were all banger original m…",1264592725720158208,2025-10-01T23:44:00+00:00,1,0,0,0
39,1973532999796011125,"RT @MBoyleN2: Inside Out 2 is 1000x better than Toy Story 4. Also, Luca is better than both and is an all-timer! 😈🖕",1264592725720158208,2025-10-01T23:38:28+00:00,1,0,0,0
40,1973530746079072274,"RT @shakkswjs: i have zero interest in coco and ratatouille
also i don’t enjoy incredibles as much as others do. 
toy story 1 is one of the…",1264592725720158208,2025-10-01T23:29:30+00:00,1,0,0,0
41,1973527635868504329,"RT @adrirobla: -“Toy Story” debió ser una trilogía ya que el final de la 3ª pelicula era el cierre perfecto.
-Nunca he conseguido ver “Up”…",1264592725720158208,2025-10-01T23:17:09+00:00,1,0,0,0
42,1973522649121956090,RT @TatooineSons: Toy Story 3 is peak. But I absolutely love Inside Out 2.,1264592725720158208,2025-10-01T22:57:20+00:00,1,0,0,0
43,1973522503286006037,RT @yc0995: Toy story 2 and 3 but I'll tell you in a bit if inside out 2 takes it,1264592725720158208,2025-10-01T22:56:45+00:00,1,0,0,0
44,1973522425246785752,"RT @quinde_jeffrey: 1. Toy Story 2
2. Inside Out 2
3. Toy Story 3
4. Toy Story 4
5. Cars 3
6. Finding Dory
7. Incredibles 2
8. Monsters Uni…",1264592725720158208,2025-10-01T22:56:27+00:00,1,0,0,0
45,1973522404170407995,"RT @HarrisHarrisev9: Having seen Inside Out 2 now. Here's the top 3 Pixar sequels:
Toy Story 2
Toy Story 3
Inside Out 2",1264592725720158208,2025-10-01T22:56:22+00:00,1,0,0,0
46,1973522357965975909,RT @mi4d0lan: i’m going to have to say inside out 2 that shit broke me,1264592725720158208,2025-10-01T22:56:11+00:00,1,0,0,0
47,1973492941818925128,"RT @TheMultiStudios: ""What are we saying?!""
-Disgust, Inside Out 2 (2024)

#InsideOut #RileysFirstDate #InsideOut2 #DreamProductions #Insid…",1690942651061665792,2025-10-01T20:59:17+00:00,18,0,0,0
48,1973488996878884865,"RT @TheMultiStudios: ""What are we saying?!""
-Disgust, Inside Out 2 (2024)

#InsideOut #RileysFirstDate #InsideOut2 #DreamProductions #Insid…",1756229220194238464,2025-10-01T20:43:37+00:00,18,0,0,0
49,1973487977952321763,"RT @TheMultiStudios: ""What are we saying?!""
-Disgust, Inside Out 2 (2024)

#InsideOut #RileysFirstDate #InsideOut2 #DreamProductions #Insid…",1373467076594184196,2025-10-01T20:39:34+00:00,18,0,0,0
